DateTime,AddedIPs,RemovedIPs
1535544381,1,2
1535547976,0,2
1535555185,0,1
1535558788,3,0
1535562397,2,0
1535565984,1,0
1535573180,0,6
1535576799,1,2
1535580386,2,5
1535583988,5,0
1535587585,2,0
1535594773,2,1
1535598413,0,6
1535605621,1,4
1535609194,4,2
1535619981,0,2
1535623564,1,4
1535627182,5,1
1535641567,1,1
1535645181,1,0
1535648782,1,0
1535659587,0,1
1535674018,1,0
1535688385,1,1
1535699174,0,6
1535702796,2,2
1535706378,3,2
1535709975,4,0
1535735172,0,1
1535745987,0,5
1535749588,5,0
1535753158,1,0
1535760391,5,0
1535763992,1,1
1535767578,3,0
1535771193,2,0
1535774797,1,3
1535778406,1,3
1535781973,0,7
1535785595,0,1
1535792795,7,1
1535807174,1,5
1535810775,1,1
1535814389,2,0
1535817973,1,0
1535821594,0,1
1535828782,1,1
1535832369,0,3
1535836005,5,0
1535843189,0,1
1535850399,0,4
1535857572,6,0
1535868401,3,0
1535871997,0,2
1535875575,0,4
1535879204,2,1
1535882787,0,3
1535886372,1,0
1535889975,1,0
1535893613,0,3
1535904373,3,0
1535911580,0,1
1535915207,1,0
1535918781,1,5
1535922394,5,0
1535933227,1,0
1535940375,0,1
1535943970,0,4
1535969159,2,0
1535972771,0,1
1535983581,0,2
1535987163,0,8
1535990764,4,0
1535994380,5,0
1536041167,0,6
1536044749,0,4
1536048364,4,0
1536077172,0,1
1536080775,1,0
1536102375,0,2
1536106001,5,2
1536109576,2,0
1536113188,7,1
1536116775,2,0
1536120398,1,0
1536123999,0,1
1536127562,2,5
1536131175,2,1
1536134770,2,0
1536141994,1,1
1536145593,1,0
1536149177,0,2
1536152780,1,0
1536156370,0,1
1536159976,0,1
1536170783,0,3
1536174380,7,0
1536188767,4,1
1536192385,1,0
1536199575,1,1
1536203164,1,11
1536206774,1,5
1536210357,1,1
1536213959,1,1
1536217573,2,1
1536221168,0,4
1536224783,2,2
1536228384,0,3
1536231958,5,1
1536239153,1,0
1536242783,1,0
1536246379,0,4
1536249959,4,1
1536253573,2,2
1536257158,3,0
1536271573,0,1
1536275180,1,0
1536278802,0,4
1536282380,1,0
1536285959,3,0
1536289590,1,0
1536293177,1,2
1536296760,1,1
1536300375,1,0
1536303965,1,1
1536307577,0,1
1536318391,0,8
1536321978,3,0
1536325566,4,0
1536329168,1,0
1536350770,0,7
1536354385,1,1
1536357977,3,2
1536361583,2,2
1536365186,5,0
1536368791,0,1
1536372386,2,0
1536379579,3,0
1536383196,0,2
1536386796,1,4
1536393972,0,3
1536401204,0,1
1536411988,0,3
1536415587,1,0
1536422779,1,1
1536426375,1,0
1536429965,1,0
1536451594,6,0
1536455172,1,0
1536458783,2,0
1536465977,1,1
1536469570,3,0
1536473172,0,3
1536476786,2,0
1536480370,1,2
1536483953,1,4
1536491177,2,0
1536494776,1,0
1536498377,0,1
1536501997,0,1
1536505576,0,2
1536509182,1,1
1536512768,3,4
1536516362,7,0
1536523570,2,0
1536527189,0,2
1536530753,0,5
1536538011,4,2
1536545176,1,0
1536548796,1,4
1536552367,0,5
1536555976,1,0
1536559570,1,2
1536563176,0,1
1536566768,2,0
1536570378,0,4
1536573970,0,1
1536577578,0,1
1536581184,3,2
1536584760,6,1
1536588358,1,0
1536591969,2,0
1536627999,4,0
1536631571,0,9
1536635180,3,0
1536638778,3,0
1536642374,3,4
1536645987,1,0
1536660376,0,1
1536674789,0,1
1536678383,1,2
1536681990,1,0
1536696383,0,3
1536699973,4,1
1536703578,1,1
1536707180,1,0
1536717982,2,0
1536728767,0,3
1536732377,0,5
1536746794,0,1
1536750389,0,1
1536753980,2,0
1536771977,2,2
1536779189,2,0
1536782767,2,0
1536786365,0,2
1536793569,0,2
1536797223,7,1
1536800806,2,0
1536804364,4,1
1536811591,1,0
1536815187,1,1
1536818784,0,7
1536822381,0,2
1536825967,8,1
1536829563,3,0
1536843983,0,1
1536847576,0,1
1536851186,1,0
1536854770,1,2
1536858369,2,0
1536872785,0,3
1536876380,3,0
1536894362,0,7
1536908761,0,1
1536912368,1,0
1536937571,0,2
1536944790,1,0
1536948375,1,0
1536951974,0,5
1536955569,1,0
1536959193,3,0
1536962746,1,0
1536977172,1,0
1536980762,1,0
1536991582,0,1
1536995168,0,1
1537009582,0,2
1537013174,1,0
1537016775,1,0
1537041954,0,1
1537052787,0,2
1537056396,1,0
1537059980,0,1
1537063564,5,1
1537070773,0,2
1537074363,0,1
1537077980,0,4
1537088748,0,1
1537092372,0,1
1537095968,1,1
1537103171,0,1
1537110348,0,2
1537113970,1,0
1537117572,3,0
1537121151,1,0
1537142814,3,0
1537149965,4,1
1537153547,5,0
1537164370,0,1
1537167974,0,5
1537171560,3,0
1537175157,2,0
1537189578,0,4
1537193180,2,0
1537200366,1,1
1537203970,2,0
1537207573,2,3
1537211164,1,0
1537214769,2,2
1537218359,0,4
1537221969,3,2
1537225554,0,1
1537229192,0,1
1537232818,2,0
1537236381,3,0
1537239979,1,4
1537247170,0,1
1537268778,0,3
1537272379,1,1
1537275982,2,2
1537279585,0,2
1537283169,5,0
1537337187,0,3
1537340767,1,1
1537351573,1,2
1537355179,4,0
1537369572,0,5
1537373192,5,0
1537401997,0,4
1537405560,2,1
1537409165,5,0
1537412793,1,1
1537419979,0,4
1537423578,0,6
1537427168,3,1
1537470375,0,1
1537481179,1,0
1537488404,6,0
1537491977,7,0
1537499201,1,0
1537506371,0,4
1537509976,3,0
1537513590,1,1
1537520793,0,2
1537524368,1,4
1537527979,0,1
1537531600,0,1
1537538794,0,1
1537545975,4,0
1537553192,0,1
1537560382,2,2
1537567604,1,1
1537571184,2,1
1537574798,1,2
1537578374,6,0
1537585587,0,7
1537592765,0,5
1537596367,5,0
1537625199,0,4
1537632378,1,1
1537635980,4,0
1537639582,0,3
1537646780,0,2
1537650390,4,0
1537653985,1,0
1537661223,5,0
1537668361,0,2
1537671969,3,0
1537679168,1,0
1537686363,1,0
1537693574,0,1
1537700765,0,1
1537715187,1,0
1537718766,3,0
1537722366,3,1
1537725968,0,4
1537729561,0,2
1537733141,3,0
1537736753,6,3
1537740381,1,0
1537765567,0,5
1537769162,0,1
1537783574,0,1
1537787150,1,0
1537826757,0,6
1537830368,6,0
1537833975,1,0
1537837585,5,0
1537841167,4,0
1537844765,3,8
1537848363,2,0
1537851973,2,6
1537855573,2,2
1537859174,1,1
1537862761,2,3
1537866375,4,2
1537869959,1,3
1537873579,8,2
1537877163,0,3
1537880788,0,2
1537884393,1,1
1537888000,0,11
1537891581,13,0
1537895183,1,1
1537898781,5,0
1537913170,0,4
1537916810,0,1
1537920395,2,0
1537927570,2,6
1537931172,0,4
1537938367,6,0
1537941993,4,4
1537945556,2,8
1537959991,0,3
1537963576,1,0
1537967174,2,1
1537970783,1,0
1537974369,3,0
1537985170,0,4
1537988785,2,4
1537995964,3,0
1538003188,0,1
1538006790,1,0
1538010382,1,2
1538013978,2,0
1538021180,1,1
1538031983,1,2
1538039191,0,1
1538042777,0,11
1538046374,6,0
1538049988,1,0
1538053578,2,0
1538057176,2,0
1538060761,1,0
1538089574,0,2
1538093216,3,1
1538096815,0,1
1538100387,4,5
1538104007,1,0
1538107576,12,2
1538114779,0,4
1538118395,0,5
1538122002,0,2
1538125584,0,1
1538132795,0,1
1538136383,3,3
1538139981,2,0
1538143585,2,1
1538147173,1,0
1538154358,0,1
1538157985,1,3
1538161579,1,4
1538165185,5,0
1538175985,1,2
1538183160,2,0
1538186784,1,0
1538190385,1,0
1538193995,1,0
1538197583,0,7
1538201169,7,1
1538204801,0,1
1538208365,0,1
1538215586,0,3
1538219192,2,4
1538222781,2,5
1538226361,3,2
1538229998,2,0
1538233592,3,4
1538237185,0,1
1538244401,6,1
1538247979,1,0
1538258797,0,6
1538262360,4,0
1538265985,1,0
1538269572,1,0
1538276771,0,13
1538280377,1,0
1538283942,0,1
1538312795,0,1
1538323575,1,0
1538341576,0,1
1538345165,1,2
1538348786,2,0
1538352391,1,0
1538356019,1,0
1538359613,5,0
1538370410,0,1
1538374008,3,2
1538377623,0,9
1538381222,4,0
1538388424,1,3
1538395590,0,5
1538399178,4,0
1538402785,1,0
1538413577,0,3
1538417188,1,1
1538420793,2,0
1538424402,1,1
1538427995,1,0
1538431601,0,1
1538442388,3,2
1538445975,2,0
1538453181,3,1
1538456786,1,3
1538460376,0,8
1538463980,2,1
1538467576,4,0
1538471175,0,1
1538478380,0,1
1538481998,3,0
1538496386,0,7
1538499976,7,1
1538503575,1,0
1538514383,0,4
1538518001,0,1
1538521592,3,0
1538525184,14,0
1538528759,1,0
1538532370,1,0
1538535964,10,4
1538539565,3,0
1538546765,0,1
1538550354,0,10
1538568358,1,0
1538575566,1,0
1538579159,0,2
1538589955,0,15
1538593567,9,2
1538597162,1,1
1538600754,7,1
1538607988,0,1
1538611585,3,0
1538618789,1,0
1538622369,4,0
1538625975,6,0
1538629567,0,8
1538633191,2,1
1538636768,0,4
1538640368,0,6
